Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Robbinsdale Area JH,BASIS Scottsdale AK,David McGinnis,Neg,27.0,29.0
Eden Prairie SP,West Des Moines Valley RS,Gordon Krauss,Aff,29.0,28.8
Robbinsdale Area FM,West Des Moines Valley JC,Mark Kivimaki,Neg,27.8,27.4
Horace Greeley SG,Strake Jesuit  RS,Danielle Schmitt,Aff,29.7,28.0
Edina AK,Awty International DC,Blake Ziegler,Neg,28.4,28.9
West Des Moines Valley ER,Peninsula WW,Rodrigo Paramo,Aff,28.8,28.6
Robbinsdale Area EW,Flower Mound SD,Elizabeth Elliott,Neg,28.4,28.8
Valley Christian CL,Head-Royce AJ,Bryce Sheffield,Neg,29.3,29.4
Sonoma AM,Greenhill DM,Vontrez White,Aff,29.5,29.4
West Des Moines Valley EP,Greenhill MA,Mark Kivimaki,Neg,27.7,29.2
Wayzata NS,Strake Jesuit  SH,Conal Thomas-McGinnis,Aff,28.0,28.1
Northern Valley AC,Edina VS,Sam Anderson,Aff,29.3,29.2
Vestavia Hills MH,Harvard-Westlake LS,Rodrigo Paramo,Aff,28.9,28.7
Mountain Lakes EW,BASIS Scottsdale SS,Gordon Krauss,Aff,29.3,28.5
West Des Moines Valley AM,St Michael Albertville BD,Blake Ziegler,Aff,28.0,27.5
Eagan AH,Eden Prairie NS,Raunit Singh,Aff,30.0,29.9
Robbinsdale Area QH,Harvard-Westlake JT,Kate Totz,Neg,28.0,27.5
Jordan KV,Flintridge Prep IL,Patrick Fox,Aff,29.2,28.9
Lakeville South AY,St Michael Albertville ZD,Nadrat Amos,Aff,30.0,28.0
Bronx Science KO,Minnetonka NN,Elizabeth Elliott,Aff,28.9,28.8
Kinkaid SZ,Cary Acad PL,wyatt hatfield,Neg,29.0,29.5
Edina AJ,Lexington AL,Kristin Neary,Neg,29.0,29.7
Lakeville South EH,Greenhill VT,Nine Abad,Neg,29.1,29.2
Eden Prairie AB,Edina SJ,Frasat Chaudhry,Aff,28.5,28.0
Lakeville North JB,West Des Moines Valley BS,Ben Kleiman,Aff,28.7,28.4
Acton-Boxborough AK,Harvard-Westlake KM,Sam Anderson,Neg,29.3,29.7
West Des Moines Valley LV,Harvard-Westlake DB,Danielle Schmitt,Neg,28.5,28.7
St Luke's DG,Rosemount MS,Nolan Trinh,Aff,30.0,28.0
Horace Greeley AM,Peninsula KN,Vontrez White,Aff,29.3,29.2
Seven Lakes VS,Greenhill SK,Dylan Liu,Neg,29.4,29.5
Eden Prairie AG,Peninsula KH,David Coates,Neg,27.5,28.0
Isidore Newman JD,Peninsula BS,Elliot Harvanko,Neg,29.1,29.2
Flower Mound AM,Harvard-Westlake AM,Alex Borgas,Neg,28.9,29.3
Peninsula AL,5 Steps AY,Nine Abad,Aff,29.3,29.1
Brophy YS,Strake Jesuit  SW,Dylan Liu,Aff,28.2,28.1
Isidore Newman SE,Delores Taylor Arthur School for Young Men JB,Elijah Smith,Neg,28.4,28.8
Lexington XH,Edina SV,Raunit Singh,Neg,28.0,28.5
Holy Trinity Episcopal CH,St Michael Albertville EK,Leo Hickey,Aff,30.0,28.8
Isidore Newman RH,Eagan PK,Bryce Sheffield,Aff,29.1,28.8
Wayzata BF,BASIS Scottsdale TK,Patrick Fox,Neg,28.6,28.9
Lexington GC,Greenhill AK,Kristin Neary,Neg,29.6,29.8
Acton-Boxborough NK,Bronx Science KL,Jonathan Alston,Aff,28.5,28.0
Lexington LY,Iowa City West JL,Leo Hickey,Neg,29.7,29.8
Jordan FJ,West Des Moines Valley DN,Rusem Paul,Aff,29.8,28.6
Peninsula AY,Seven Lakes CO,Christian Han,Aff,29.5,29.0
Newark Science AL,Apple Valley JB,Ryan Davis,Aff,25.0,28.6
Isidore Newman AB,Bronx Science LW,Elijah Smith,Aff,29.1,28.8
Edina NR,Rosemount SK,Jonathan Alston,Aff,29.0,27.5
East Chapel Hill AX,Bronx Science MR,Ryan Davis,Aff,28.9,28.7
West Des Moines Valley JB,Rosemount PM,Kate Totz,Neg,27.5,28.0
West Des Moines Valley BT,Harvard-Westlake EG,,"Aff BYE																									Neg BYE","Aff BYE																									Neg BYE",
