Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Minnetonka NN,Holy Trinity Episcopal CH,Rusem Paul,Neg,28.4,28.5
Harvard-Westlake LS,Lexington GC,Nine Abad,Aff,29.1,28.9
Awty International DC,Mountain Lakes EW,Nate Graziano,Neg,29.0,29.1
Flintridge Prep IL,Eden Prairie AG,Kristin Neary,Aff,29.6,29.3
Seven Lakes CO,Lexington XH,David Coates,Aff,28.5,28.0
Edina SJ,Robbinsdale Area EW,Kay Krogstad,Neg,28.0,28.2
Bronx Science MR,Robbinsdale Area JH,Dylan Liu,Aff,28.1,28.0
Flower Mound SD,Lexington LY,Ryan Davis,Neg,28.7,28.8
Peninsula BS,West Des Moines Valley AM,Christian Han,Aff,28.9,28.3
Rosemount SK,West Des Moines Valley BT,Kate Totz,Neg,27.0,28.0
West Des Moines Valley RS,Robbinsdale Area QH,Frasat Chaudhry,Neg,28.0,28.5
Edina VS,Lakeville North JB,Raunit Singh,Aff,30.0,29.9
Peninsula WW,Edina AK,Ryan Davis,Neg,28.6,28.7
Harvard-Westlake AM,St Luke's DG,Elizabeth Elliott,Neg,29.3,29.4
BASIS Scottsdale SS,Edina AJ,Blake Ziegler,Aff,28.7,28.5
West Des Moines Valley DN,Edina NR,Vontrez White,Neg,29.1,29.2
Strake Jesuit  RS,Peninsula AY,Bryce Sheffield,Neg,28.5,29.9
West Des Moines Valley JC,Seven Lakes VS,Sachin Aggarwal,Neg,28.7,29.7
Strake Jesuit  SH,West Des Moines Valley ER,Christian Han,Aff,28.3,28.5
Eden Prairie NS,West Des Moines Valley EP,Gordon Krauss,Aff,28.5,28.2
St Michael Albertville BD,Isidore Newman RH,Jonathan Alston,Neg,27.5,27.9
Greenhill DM,Jordan KV,Mark Kivimaki,Neg,29.0,29.1
Lexington AL,Wayzata NS,Elliot Harvanko,Aff,29.0,28.7
Edina SV,Northern Valley AC,Nate Graziano,Neg,28.9,29.3
West Des Moines Valley BS,Robbinsdale Area FM,Rusem Paul,Aff,28.1,28.0
Greenhill AK,Peninsula AL,Sam Anderson,Neg,29.3,29.7
Strake Jesuit  SW,Jordan FJ,Elizabeth Elliott,Neg,28.9,29.3
Rosemount PM,Bronx Science KO,Kay Krogstad,Neg,28.8,27.5
Harvard-Westlake JT,Wayzata BF,Dylan Liu,Aff,28.2,28.0
BASIS Scottsdale TK,Valley Christian CL,David McGinnis,Neg,29.4,29.5
Harvard-Westlake KM,Vestavia Hills MH,Bryce Sheffield,Aff,29.6,29.3
Delores Taylor Arthur School for Young Men JB,Sonoma AM,Jonathan Alston,Aff,29.5,29.3
Head-Royce AJ,Horace Greeley AM,Nine Abad,Aff,29.3,29.2
Bronx Science LW,Brophy YS,Conal Thomas-McGinnis,Aff,29.0,28.9
Bronx Science KL,Kinkaid SZ,Mark Kivimaki,Neg,29.2,29.3
Harvard-Westlake EG,Eden Prairie SP,Leo Hickey,Aff,29.7,28.2
Harvard-Westlake DB,Lakeville South AY,Sam Anderson,Neg,28.8,28.9
Cary Acad PL,Horace Greeley SG,Leo Hickey,Neg,29.8,30.0
Iowa City West JL,Isidore Newman AB,Sachin Aggarwal,Neg,29.1,29.4
St Michael Albertville EK,West Des Moines Valley JB,Helen Moon,Neg,27.0,27.5
Eagan PK,Isidore Newman JD,Vinod Borlepwar,Neg,28.0,29.0
Peninsula KH,Flower Mound AM,Patrick Fox,Neg,28.8,29.3
Greenhill VT,Newark Science AL,Blake Ziegler,Neg,29.4,29.5
Apple Valley JB,Lakeville South EH,Michael Liu,Aff,29.3,29.0
Greenhill MA,Acton-Boxborough AK,Ben Kleiman,Aff,29.3,20.0
5 Steps AY,Eden Prairie AB,Kristin Neary,Aff,29.5,29.0
Peninsula KN,Isidore Newman SE,Patrick Fox,Aff,29.0,28.7
Rosemount MS,Eagan AH,DJ Brynteson,Neg,29.0,27.5
BASIS Scottsdale AK,East Chapel Hill AX,wyatt hatfield,Neg,28.4,28.6
Greenhill SK,Acton-Boxborough NK,Vontrez White,Aff,29.8,29.5
St Michael Albertville ZD,West Des Moines Valley LV,Alex Borgas,Neg,27.6,28.2
