Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Harvard-Westlake KM,Seven Lakes VS,Elizabeth Elliott,Neg,29.1,29.5
Valley Christian CL,Horace Greeley AM,Joe Schmitt,Aff,29.8,29.5
Peninsula KH,Eden Prairie NS,Lawrence Hu,Neg,27.5,29.0
5 Steps AY,Edina NR,Ben Kleiman,Neg,28.0,28.9
Minnetonka NN,West Des Moines Valley DN,Helen Moon,Aff,28.0,27.8
BASIS Scottsdale SS,Edina AK,Kristin Neary,Aff,29.6,29.4
Bronx Science LW,Awty International DC,David McGinnis,Neg,27.8,28.2
Greenhill VT,Harvard-Westlake LS,David Coates,Aff,29.5,29.0
Lexington XH,St Michael Albertville EK,Lawrence Hu,Neg,28.5,28.6
Jordan FJ,Flower Mound SD,Gordon Krauss,Aff,29.1,29.0
Harvard-Westlake AM,Wayzata NS,David Coates,Aff,29.0,28.0
Harvard-Westlake EG,Horace Greeley SG,Ryan Davis,Aff,29.4,29.3
Strake Jesuit  RS,Holy Trinity Episcopal CH,Raunit Singh,Neg,28.0,28.5
Edina SJ,BASIS Scottsdale AK,DJ Brynteson,Neg,28.0,28.5
Robbinsdale Area QH,Northern Valley AC,Conal Thomas-McGinnis,Neg,29.0,30.0
Isidore Newman AB,Delores Taylor Arthur School for Young Men JB,Vontrez White,Aff,29.5,29.4
Peninsula KN,Iowa City West JL,Christian Han,Neg,29.2,29.5
Acton-Boxborough NK,St Luke's DG,Rodrigo Paramo,Aff,29.4,29.0
Brophy YS,Peninsula AY,Nine Abad,Neg,28.9,29.3
Apple Valley JB,East Chapel Hill AX,Mark Kivimaki,Neg,28.8,29.1
West Des Moines Valley AM,Rosemount SK,Kay Krogstad,Aff,30.0,28.5
Peninsula BS,Greenhill MA,Bryce Sheffield,Neg,28.8,29.6
Edina AJ,West Des Moines Valley RS,Helen Moon,Aff,28.5,27.9
Lakeville South AY,Rosemount PM,Guhan Krishnan,Aff,28.5,28.0
Peninsula AL,Head-Royce AJ,Rodrigo Paramo,Aff,29.3,29.1
Lexington AL,Eagan AH,Mahender Ginuga,Aff,30.0,29.0
Cary Acad PL,Bronx Science KO,Bryce Sheffield,Aff,28.6,28.5
Lakeville North JB,Bronx Science MR,Nolan Trinh,Neg,27.0,30.0
Greenhill SK,Jordan KV,Blake Ziegler,Aff,29.8,28.0
West Des Moines Valley BS,St Michael Albertville ZD,Leo Hickey,Neg,27.9,28.7
Harvard-Westlake JT,West Des Moines Valley BT,Frasat Chaudhry,Aff,28.5,28.3
Isidore Newman RH,Harvard-Westlake DB,Chongwoo Kim,Aff,28.0,29.4
Isidore Newman JD,Kinkaid SZ,Vontrez White,Neg,29.2,29.3
Acton-Boxborough AK,Flintridge Prep IL,Mark Kivimaki,Aff,29.4,29.0
Isidore Newman SE,Robbinsdale Area EW,Rusem Paul,Aff,28.5,28.4
Greenhill AK,Flower Mound AM,Dylan Liu,Neg,29.3,29.4
Edina SV,West Des Moines Valley JC,DJ Brynteson,Aff,29.5,25.0
Edina VS,Newark Science AL,Leah Willingham,Neg,29.8,29.7
Strake Jesuit  SH,Eden Prairie AB,Alex Borgas,Neg,27.6,28.4
St Michael Albertville BD,West Des Moines Valley JB,Frasat Chaudhry,Neg,28.4,28.5
BASIS Scottsdale TK,Greenhill DM,Michael Liu,Aff,29.3,29.0
Mountain Lakes EW,Sonoma AM,Elizabeth Elliott,Aff,29.0,29.1
Seven Lakes CO,Eden Prairie SP,Raunit Singh,Aff,27.0,28.5
Peninsula WW,Wayzata BF,Leo Hickey,Neg,28.2,28.7
West Des Moines Valley EP,Eden Prairie AG,Alex Borgas,Neg,27.6,28.0
Lexington GC,Vestavia Hills MH,Elliot Harvanko,Neg,28.1,28.4
Strake Jesuit  SW,Bronx Science KL,Nolan Trinh,Aff,28.0,27.0
Lakeville South EH,Lexington LY,Blake Ziegler,Aff,29.3,28.9
Robbinsdale Area JH,West Des Moines Valley LV,Rusem Paul,Neg,28.3,28.4
Robbinsdale Area FM,West Des Moines Valley ER,Kay Krogstad,Neg,28.8,28.9
,Eagan PK,,Neg BYE,Neg BYE,
