Aff,Neg,Judge,Win
Little Rock Central CS,Harvard-Westlake BC,Leigha Maddy,Aff
Westmoore DD,Little Rock Central GT,Jonathan Meza,Neg
Little Rock Central KC,Westmoore JT,Jonathan Meza,Aff
Harvard-Westlake EG,Little Rock Central PT,Leigha Maddy,Aff
Little Rock Central LC,Harvard-Westlake LS,Ian Horton,Neg
Harvard-Westlake MR,Westmoore PW,Luis Toro,Aff
