Aff,Neg,Judge,Win
Little Rock Central CS,Harvard-Westlake EG,Brianna lemaster,Neg
Harvard-Westlake MR,Little Rock Central GT,Brianna lemaster,Aff
Little Rock Central KC,Westmoore DD,Ian Horton,Aff
Little Rock Central PT,Harvard-Westlake LS,Betty Stanton,Neg
Westmoore JT,Little Rock Central LC,Betty Stanton,Neg
Westmoore PW,Harvard-Westlake BC,Ian Horton,Aff
