Aff,Neg,Judge,Win
Harvard-Westlake BC,Little Rock Central LC,Luis Toro,Aff
Little Rock Central GT,Harvard-Westlake EG,Tommy Snider,Neg
Westmoore JT,Little Rock Central CS,Ian Horton,Neg
Little Rock Central PT,Harvard-Westlake MR,Ian Horton,Neg
Harvard-Westlake LS,Westmoore DD,Tommy Snider,Aff
Westmoore PW,Little Rock Central KC,Ashlyn Davis,Neg
